 running on    1 total cores
 distrk:  each k-point on    1 cores,    1 groups
 distr:  one band on    1 cores,    1 groups
 OpenACC runtime initialized ...    1 GPUs detected
 vasp.6.2.1 16May21 (build Jun 16 2021 03:23:30) complex                         
 POSCAR found type information on POSCAR AlO 
 POSCAR found :  2 types and     254 ions
 scaLAPACK will be used selectively (only on CPU)
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR found type information on POSCAR AlO 
 POSCAR found :  2 types and     254 ions
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.239611678323E+04    0.23961E+04   -0.20438E+05  3072   0.854E+02
DAV:   2    -0.698280523004E+03   -0.30944E+04   -0.29248E+04  4192   0.202E+02
DAV:   3    -0.942281673510E+03   -0.24400E+03   -0.23093E+03  4656   0.440E+01
DAV:   4    -0.957610483916E+03   -0.15329E+02   -0.14759E+02  4784   0.978E+00
DAV:   5    -0.958390228826E+03   -0.77974E+00   -0.72783E+00  4720   0.223E+00    0.259E+01
DAV:   6    -0.969194657697E+03   -0.10804E+02   -0.18332E+02  3824   0.163E+01    0.212E+01
DAV:   7    -0.936017298448E+03    0.33177E+02   -0.14932E+02  3808   0.169E+01    0.129E+01
DAV:   8    -0.952539148290E+03   -0.16522E+02   -0.51835E+01  4368   0.127E+01    0.120E+01
DAV:   9    -0.933620773331E+03    0.18918E+02   -0.12803E+01  4104   0.116E+01    0.109E+01
DAV:  10    -0.930630967916E+03    0.29898E+01   -0.12348E+01  3944   0.458E+00    0.212E+00
DAV:  11    -0.930606783951E+03    0.24184E-01   -0.27051E+00  4208   0.195E+00    0.149E+00
DAV:  12    -0.930568797067E+03    0.37987E-01   -0.31038E-01  3920   0.774E-01    0.115E+00
DAV:  13    -0.930503033757E+03    0.65763E-01   -0.19465E-01  3624   0.586E-01    0.528E-01
DAV:  14    -0.930475959359E+03    0.27074E-01   -0.51701E-02  3752   0.343E-01    0.339E-01
DAV:  15    -0.930467203977E+03    0.87554E-02   -0.26549E-02  3752   0.179E-01    0.202E-01
DAV:  16    -0.930467430008E+03   -0.22603E-03   -0.11608E-02  3608   0.143E-01    0.279E-01
DAV:  17    -0.930474792298E+03   -0.73623E-02   -0.59339E-03  3536   0.885E-02    0.151E-01
DAV:  18    -0.930481794593E+03   -0.70023E-02   -0.56326E-03  3792   0.100E-01    0.116E-01
DAV:  19    -0.930483988422E+03   -0.21938E-02   -0.13968E-03  3856   0.511E-02    0.133E-01
DAV:  20    -0.930485997215E+03   -0.20088E-02   -0.60208E-04  3944   0.414E-02    0.738E-02
DAV:  21    -0.930487650779E+03   -0.16536E-02   -0.45909E-04  3792   0.286E-02    0.275E-02
DAV:  22    -0.930488606265E+03   -0.95549E-03   -0.21049E-04  3456   0.140E-02    0.319E-02
DAV:  23    -0.930489457753E+03   -0.85149E-03   -0.59478E-05  3528   0.102E-02    0.195E-02
DAV:  24    -0.930490265394E+03   -0.80764E-03   -0.73208E-05  3088   0.775E-03    0.135E-02
DAV:  25    -0.930490976439E+03   -0.71105E-03   -0.89131E-05  3304   0.755E-03    0.963E-03
DAV:  26    -0.930491691080E+03   -0.71464E-03   -0.33133E-05  2896   0.532E-03    0.806E-03
DAV:  27    -0.930492295884E+03   -0.60480E-03   -0.33950E-05  2920   0.452E-03    0.505E-03
DAV:  28    -0.930492598210E+03   -0.30233E-03   -0.16478E-05  2712   0.331E-03    0.295E-03
DAV:  29    -0.930492783817E+03   -0.18561E-03   -0.11579E-05  2552   0.221E-03    0.220E-03
DAV:  30    -0.930492844340E+03   -0.60523E-04   -0.30697E-06  2392   0.145E-03    0.169E-03
DAV:  31    -0.930492859866E+03   -0.15526E-04   -0.64400E-07  1952   0.833E-04    0.167E-03
DAV:  32    -0.930492867133E+03   -0.72672E-05   -0.28845E-07  1880   0.587E-04    0.141E-03
DAV:  33    -0.930492870287E+03   -0.31541E-05   -0.13546E-07  1792   0.434E-04
   1 F= -.10032526E+04 E0= -.10032194E+04  d E =-.665018E-01
