 running on    1 total cores
 distrk:  each k-point on    1 cores,    1 groups
 distr:  one band on    1 cores,    1 groups
 OpenACC runtime initialized ...    1 GPUs detected
 vasp.6.2.1 16May21 (build Jun 16 2021 03:23:30) complex                         
 POSCAR found type information on POSCAR AlO 
 POSCAR found :  2 types and     254 ions
 scaLAPACK will be used selectively (only on CPU)
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR found type information on POSCAR AlO 
 POSCAR found :  2 types and     254 ions
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.242120118318E+04    0.24212E+04   -0.20512E+05  3120   0.854E+02
DAV:   2    -0.678409799624E+03   -0.30996E+04   -0.29244E+04  4184   0.202E+02
DAV:   3    -0.936453936163E+03   -0.25804E+03   -0.24459E+03  4624   0.449E+01
DAV:   4    -0.952271130771E+03   -0.15817E+02   -0.15506E+02  4768   0.104E+01
DAV:   5    -0.952792956803E+03   -0.52183E+00   -0.51794E+00  4360   0.208E+00    0.644E+01
DAV:   6    -0.965083276560E+03   -0.12290E+02   -0.19560E+02  4128   0.168E+01    0.447E+01
DAV:   7    -0.973802179760E+03   -0.87189E+01   -0.36628E+02  4288   0.277E+01    0.316E+01
DAV:   8    -0.928902387892E+03    0.44900E+02   -0.26637E+02  3936   0.176E+01    0.702E+00
DAV:   9    -0.945271102552E+03   -0.16369E+02   -0.28334E+01  4208   0.129E+01    0.110E+01
DAV:  10    -0.923602299219E+03    0.21669E+02   -0.16357E+01  4176   0.970E+00    0.286E+00
DAV:  11    -0.923175839325E+03    0.42646E+00   -0.10562E+01  3816   0.312E+00    0.105E+00
DAV:  12    -0.923106873713E+03    0.68966E-01   -0.93995E-01  3976   0.134E+00    0.793E-01
DAV:  13    -0.923034193208E+03    0.72681E-01   -0.17343E-01  4160   0.536E-01    0.509E-01
DAV:  14    -0.923001442355E+03    0.32751E-01   -0.51272E-02  3856   0.321E-01    0.362E-01
DAV:  15    -0.922994269593E+03    0.71728E-02   -0.17182E-02  3800   0.192E-01    0.220E-01
DAV:  16    -0.922996241042E+03   -0.19714E-02   -0.20557E-02  3608   0.150E-01    0.157E-01
DAV:  17    -0.923004607708E+03   -0.83667E-02   -0.16148E-02  3856   0.128E-01    0.166E-01
DAV:  18    -0.923006053587E+03   -0.14459E-02   -0.33529E-03  3600   0.767E-02    0.993E-02
DAV:  19    -0.923008921737E+03   -0.28681E-02   -0.68528E-03  3472   0.828E-02    0.412E-02
DAV:  20    -0.923010754668E+03   -0.18329E-02   -0.99621E-04  3832   0.425E-02    0.366E-02
DAV:  21    -0.923012023904E+03   -0.12692E-02   -0.31148E-04  3672   0.220E-02    0.333E-02
DAV:  22    -0.923012957987E+03   -0.93408E-03   -0.13110E-04  3640   0.146E-02    0.219E-02
DAV:  23    -0.923013858523E+03   -0.90054E-03   -0.10844E-04  3520   0.108E-02    0.869E-03
DAV:  24    -0.923014790406E+03   -0.93188E-03   -0.17071E-04  3176   0.106E-02    0.132E-02
DAV:  25    -0.923015489530E+03   -0.69912E-03   -0.42337E-05  2936   0.665E-03    0.749E-03
DAV:  26    -0.923016037339E+03   -0.54781E-03   -0.42191E-05  2928   0.523E-03    0.337E-03
DAV:  27    -0.923016288190E+03   -0.25085E-03   -0.10412E-05  2600   0.294E-03    0.282E-03
DAV:  28    -0.923016436444E+03   -0.14825E-03   -0.57649E-06  2232   0.203E-03    0.198E-03
DAV:  29    -0.923016556678E+03   -0.12023E-03   -0.84577E-06  2488   0.175E-03    0.177E-03
DAV:  30    -0.923016577170E+03   -0.20493E-04   -0.94067E-07  2032   0.101E-03    0.171E-03
DAV:  31    -0.923016586511E+03   -0.93406E-05   -0.56167E-07  1896   0.814E-04    0.166E-03
DAV:  32    -0.923016588043E+03   -0.15327E-05   -0.17166E-07  1816   0.564E-04
   1 F= -.99584835E+03 E0= -.99581792E+03  d E =-.608596E-01
