 running on    1 total cores
 distrk:  each k-point on    1 cores,    1 groups
 distr:  one band on    1 cores,    1 groups
 OpenACC runtime initialized ...    1 GPUs detected
 vasp.6.2.1 16May21 (build Jun 16 2021 03:23:30) complex                         
 POSCAR found type information on POSCAR AlO 
 POSCAR found :  2 types and     254 ions
 scaLAPACK will be used selectively (only on CPU)
 LDA part: xc-table for Pade appr. of Perdew
 POSCAR found type information on POSCAR AlO 
 POSCAR found :  2 types and     254 ions
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ...
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.238180494281E+04    0.23818E+04   -0.20446E+05  3096   0.854E+02
DAV:   2    -0.706579516618E+03   -0.30884E+04   -0.29163E+04  4184   0.202E+02
DAV:   3    -0.945994539342E+03   -0.23942E+03   -0.23032E+03  4456   0.441E+01
DAV:   4    -0.956537945655E+03   -0.10543E+02   -0.10295E+02  4448   0.894E+00
DAV:   5    -0.957006317321E+03   -0.46837E+00   -0.46644E+00  5032   0.217E+00    0.534E+01
DAV:   6    -0.980017865419E+03   -0.23012E+02   -0.34568E+02  4784   0.178E+01    0.417E+01
DAV:   7    -0.946663725682E+03    0.33354E+02   -0.37106E+02  4056   0.245E+01    0.350E+01
DAV:   8    -0.949982640234E+03   -0.33189E+01   -0.19145E+02  4168   0.154E+01    0.226E+01
DAV:   9    -0.102235174473E+04   -0.72369E+02   -0.49044E+01  4168   0.237E+01    0.269E+01
DAV:  10    -0.929421572790E+03    0.92930E+02   -0.99374E+01  4808   0.179E+01    0.140E+01
DAV:  11    -0.929304734969E+03    0.11684E+00   -0.33740E+01  4040   0.483E+00    0.970E+00
DAV:  12    -0.928153473969E+03    0.11513E+01   -0.22366E+00  4016   0.178E+00    0.861E+00
DAV:  13    -0.927425778476E+03    0.72770E+00   -0.28424E-01  4328   0.570E-01    0.800E+00
DAV:  14    -0.929102334110E+03   -0.16766E+01   -0.57050E+00  3688   0.477E-01    0.125E+01
DAV:  15    -0.927030093233E+03    0.20722E+01   -0.30799E-01  4120   0.567E-01    0.682E+00
DAV:  16    -0.927119216943E+03   -0.89124E-01   -0.17339E+00  4472   0.269E-01    0.108E+01
DAV:  17    -0.928771002478E+03   -0.16518E+01   -0.69257E+00  3616   0.314E-01    0.122E+01
DAV:  18    -0.927965982367E+03    0.80502E+00   -0.49088E-02  3808   0.238E-01    0.119E+01
DAV:  19    -0.926996807214E+03    0.96918E+00   -0.73907E-02  3536   0.171E-01    0.109E+01
DAV:  20    -0.927437234765E+03   -0.44043E+00   -0.24643E+00  3624   0.194E-01    0.119E+01
DAV:  21    -0.927182016786E+03    0.25522E+00   -0.11917E+00  3352   0.128E-01    0.109E+01
DAV:  22    -0.926999399338E+03    0.18262E+00   -0.62285E-02  3416   0.130E-01    0.765E+00
DAV:  23    -0.927110743790E+03   -0.11134E+00   -0.15473E+00  3384   0.920E-02    0.107E+01
DAV:  24    -0.926972655306E+03    0.13809E+00   -0.78553E-01  3384   0.103E-01    0.672E+00
DAV:  25    -0.927014216433E+03   -0.41561E-01   -0.29958E-01  3272   0.760E-02    0.701E+00
DAV:  26    -0.926991070173E+03    0.23146E-01   -0.26962E-01  3280   0.678E-02    0.474E+00
DAV:  27    -0.927000244352E+03   -0.91742E-02   -0.37646E-03  3232   0.570E-02    0.128E+00
DAV:  28    -0.927026927848E+03   -0.26683E-01   -0.10843E-03  3288   0.306E-02    0.927E-01
DAV:  29    -0.927025284627E+03    0.16432E-02   -0.43952E-04  3272   0.983E-03    0.141E+00
DAV:  30    -0.927025303951E+03   -0.19324E-04   -0.43823E-04  3176   0.157E-02    0.101E+00
DAV:  31    -0.927028049527E+03   -0.27456E-02   -0.35967E-04  3176   0.180E-02    0.285E-01
DAV:  32    -0.927030225362E+03   -0.21758E-02   -0.11943E-04  3008   0.920E-03    0.434E-01
DAV:  33    -0.927030057618E+03    0.16774E-03   -0.38939E-05  2648   0.541E-03    0.175E-01
DAV:  34    -0.927030692089E+03   -0.63447E-03   -0.26065E-05  2480   0.355E-03    0.941E-02
DAV:  35    -0.927031166344E+03   -0.47425E-03   -0.15836E-05  2432   0.407E-03    0.360E-02
DAV:  36    -0.927031469263E+03   -0.30292E-03   -0.91161E-06  2328   0.196E-03    0.129E-01
DAV:  37    -0.927031576371E+03   -0.10711E-03   -0.94689E-06  2368   0.241E-03    0.640E-02
DAV:  38    -0.927031667247E+03   -0.90876E-04   -0.37423E-06  2176   0.112E-03    0.564E-02
DAV:  39    -0.927031701864E+03   -0.34617E-04   -0.17571E-06  1976   0.814E-04    0.418E-02
DAV:  40    -0.927031720378E+03   -0.18514E-04   -0.10754E-06  1864   0.115E-03    0.121E-02
DAV:  41    -0.927031722163E+03   -0.17854E-05   -0.13518E-07  1744   0.348E-04
   1 F= -.99962650E+03 E0= -.99956928E+03  d E =-.114439E+00
